GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimates (as of July 1) - 2010,Population Estimates (as of July 1) - 2011
0500000US47001,47001,"Anderson County, Tennessee",75129,75118,75117,75233
0500000US47003,47003,"Bedford County, Tennessee",45058,45058,45158,45509
0500000US47005,47005,"Benton County, Tennessee",16489,16489,16482,16430
0500000US47007,47007,"Bledsoe County, Tennessee",12876,12876,12860,12865
0500000US47009,47009,"Blount County, Tennessee",123010,123010,123160,123901
0500000US47011,47011,"Bradley County, Tennessee",98963,98963,99131,100055
0500000US47013,47013,"Campbell County, Tennessee",40716,40716,40675,40512
0500000US47015,47015,"Cannon County, Tennessee",13801,13801,13801,13761
0500000US47017,47017,"Carroll County, Tennessee",28522,28522,28510,28457
0500000US47019,47019,"Carter County, Tennessee",57424,57424,57342,57185
0500000US47021,47021,"Cheatham County, Tennessee",39105,39105,39107,39078
0500000US47023,47023,"Chester County, Tennessee",17131,17131,17157,17141
0500000US47025,47025,"Claiborne County, Tennessee",32213,32213,32249,32172
0500000US47027,47027,"Clay County, Tennessee",7861,7861,7870,7761
0500000US47029,47029,"Cocke County, Tennessee",35662,35662,35620,35544
0500000US47031,47031,"Coffee County, Tennessee",52796,52796,52790,53016
0500000US47033,47033,"Crockett County, Tennessee",14586,14586,14588,14553
0500000US47035,47035,"Cumberland County, Tennessee",56053,56053,56219,56632
0500000US47037,47037,"Davidson County, Tennessee",626681,626681,628053,635475
0500000US47039,47039,"Decatur County, Tennessee",11757,11757,11748,11687
0500000US47041,47041,"DeKalb County, Tennessee",18723,18723,18739,18854
0500000US47043,47043,"Dickson County, Tennessee",49666,49666,49730,50081
0500000US47045,47045,"Dyer County, Tennessee",38335,38335,38336,38192
0500000US47047,47047,"Fayette County, Tennessee",38413,38413,38455,38513
0500000US47049,47049,"Fentress County, Tennessee",17959,17959,17958,18020
0500000US47051,47051,"Franklin County, Tennessee",41052,41052,40990,40917
0500000US47053,47053,"Gibson County, Tennessee",49683,49683,49701,49935
0500000US47055,47055,"Giles County, Tennessee",29485,29485,29399,29387
0500000US47057,47057,"Grainger County, Tennessee",22657,22657,22723,22766
0500000US47059,47059,"Greene County, Tennessee",68831,68831,68835,69339
0500000US47061,47061,"Grundy County, Tennessee",13703,13703,13709,13545
0500000US47063,47063,"Hamblen County, Tennessee",62544,62544,62629,63062
0500000US47065,47065,"Hamilton County, Tennessee",336463,336463,337307,340855
0500000US47067,47067,"Hancock County, Tennessee",6819,6819,6836,6737
0500000US47069,47069,"Hardeman County, Tennessee",27253,27253,27175,26834
0500000US47071,47071,"Hardin County, Tennessee",26026,26026,26028,25874
0500000US47073,47073,"Hawkins County, Tennessee",56833,56833,56867,56671
0500000US47075,47075,"Haywood County, Tennessee",18787,18787,18769,18470
0500000US47077,47077,"Henderson County, Tennessee",27769,27769,27745,27912
0500000US47079,47079,"Henry County, Tennessee",32330,32330,32340,32352
0500000US47081,47081,"Hickman County, Tennessee",24690,24690,24665,24406
0500000US47083,47083,"Houston County, Tennessee",8426,8426,8441,8333
0500000US47085,47085,"Humphreys County, Tennessee",18538,18538,18585,18470
0500000US47087,47087,"Jackson County, Tennessee",11638,11638,11650,11371
0500000US47089,47089,"Jefferson County, Tennessee",51407,51409,51437,51666
0500000US47091,47091,"Johnson County, Tennessee",18244,18244,18271,18231
0500000US47093,47093,"Knox County, Tennessee",432226,432237,433110,436929
0500000US47095,47095,"Lake County, Tennessee",7832,7832,7827,7779
0500000US47097,47097,"Lauderdale County, Tennessee",27815,27815,27788,27748
0500000US47099,47099,"Lawrence County, Tennessee",41869,41869,42017,42115
0500000US47101,47101,"Lewis County, Tennessee",12161,12161,12163,12142
0500000US47103,47103,"Lincoln County, Tennessee",33361,33361,33433,33431
0500000US47105,47105,"Loudon County, Tennessee",48556,48556,48783,49237
0500000US47107,47107,"McMinn County, Tennessee",52266,52266,52234,52508
0500000US47109,47109,"McNairy County, Tennessee",26075,26075,26095,26094
0500000US47111,47111,"Macon County, Tennessee",22248,22248,22295,22485
0500000US47113,47113,"Madison County, Tennessee",98294,98294,98320,98255
0500000US47115,47115,"Marion County, Tennessee",28237,28237,28290,28223
0500000US47117,47117,"Marshall County, Tennessee",30617,30617,30664,30881
0500000US47119,47119,"Maury County, Tennessee",80956,80956,81166,81509
0500000US47121,47121,"Meigs County, Tennessee",11753,11753,11773,11737
0500000US47123,47123,"Monroe County, Tennessee",44519,44519,44584,44882
0500000US47125,47125,"Montgomery County, Tennessee",172331,172336,173304,176619
0500000US47127,47127,"Moore County, Tennessee",6362,6362,6360,6411
0500000US47129,47129,"Morgan County, Tennessee",21987,21987,21975,21838
0500000US47131,47131,"Obion County, Tennessee",31807,31807,31824,31790
0500000US47133,47133,"Overton County, Tennessee",22083,22083,22104,22169
0500000US47135,47135,"Perry County, Tennessee",7915,7915,7935,7898
0500000US47137,47137,"Pickett County, Tennessee",5077,5077,5074,5122
0500000US47139,47139,"Polk County, Tennessee",16825,16825,16832,16779
0500000US47141,47141,"Putnam County, Tennessee",72321,72321,72567,72958
0500000US47143,47143,"Rhea County, Tennessee",31809,31809,31846,32079
0500000US47145,47145,"Roane County, Tennessee",54181,54181,54100,53838
0500000US47147,47147,"Robertson County, Tennessee",66283,66283,66490,67106
0500000US47149,47149,"Rutherford County, Tennessee",262604,262604,263769,268921
0500000US47151,47151,"Scott County, Tennessee",22228,22228,22227,22160
0500000US47153,47153,"Sequatchie County, Tennessee",14112,14112,14127,14346
0500000US47155,47155,"Sevier County, Tennessee",89889,89887,90150,91466
0500000US47157,47157,"Shelby County, Tennessee",927644,927644,928930,935088
0500000US47159,47159,"Smith County, Tennessee",19166,19166,19150,19150
0500000US47161,47161,"Stewart County, Tennessee",13324,13324,13343,13186
0500000US47163,47163,"Sullivan County, Tennessee",156823,156823,156855,157419
0500000US47165,47165,"Sumner County, Tennessee",160645,160645,161316,163686
0500000US47167,47167,"Tipton County, Tennessee",61081,61081,61157,61293
0500000US47169,47169,"Trousdale County, Tennessee",7870,7870,7870,7816
0500000US47171,47171,"Unicoi County, Tennessee",18313,18313,18274,18280
0500000US47173,47173,"Union County, Tennessee",19109,19109,19088,19200
0500000US47175,47175,"Van Buren County, Tennessee",5548,5548,5545,5483
0500000US47177,47177,"Warren County, Tennessee",39839,39839,39857,39927
0500000US47179,47179,"Washington County, Tennessee",122979,122979,123358,124353
0500000US47181,47181,"Wayne County, Tennessee",17021,17021,17001,16951
0500000US47183,47183,"Weakley County, Tennessee",35021,35021,35008,34980
0500000US47185,47185,"White County, Tennessee",25841,25841,25862,26149
0500000US47187,47187,"Williamson County, Tennessee",183182,183182,184080,188560
0500000US47189,47189,"Wilson County, Tennessee",113993,113993,114559,116617
