GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0500000US47001,47001,"Anderson County, Tennessee",75129,75126,75154,75222,75354,75443,75382,75749
0500000US47003,47003,"Bedford County, Tennessee",45058,45058,45103,45279,45327,45712,46428,47183
0500000US47005,47005,"Benton County, Tennessee",16489,16489,16492,16421,16359,16281,16115,16129
0500000US47007,47007,"Bledsoe County, Tennessee",12876,12869,12870,12837,12786,13778,14526,14502
0500000US47009,47009,"Blount County, Tennessee",123010,123016,123156,123623,123998,124943,126124,127253
0500000US47011,47011,"Bradley County, Tennessee",98963,98963,99155,100009,101222,101929,103058,104091
0500000US47013,47013,"Campbell County, Tennessee",40716,40716,40716,40570,40439,40211,39910,39752
0500000US47015,47015,"Cannon County, Tennessee",13801,13801,13800,13746,13848,13783,13718,13840
0500000US47017,47017,"Carroll County, Tennessee",28522,28505,28466,28569,28608,28472,28207,27910
0500000US47019,47019,"Carter County, Tennessee",57424,57424,57360,57483,57352,57025,56358,56486
0500000US47021,47021,"Cheatham County, Tennessee",39105,39108,39120,39000,39257,39396,39714,39741
0500000US47023,47023,"Chester County, Tennessee",17131,17131,17173,17212,17210,17349,17379,17471
0500000US47025,47025,"Claiborne County, Tennessee",32213,32213,32234,32084,31723,31598,31624,31709
0500000US47027,47027,"Clay County, Tennessee",7861,7860,7843,7819,7796,7775,7740,7771
0500000US47029,47029,"Cocke County, Tennessee",35662,35662,35660,35385,35463,35309,35285,35162
0500000US47031,47031,"Coffee County, Tennessee",52796,52795,52778,52880,53125,53321,53638,54277
0500000US47033,47033,"Crockett County, Tennessee",14586,14584,14584,14556,14611,14597,14635,14601
0500000US47035,47035,"Cumberland County, Tennessee",56053,56050,56198,56604,57048,57478,57915,58229
0500000US47037,47037,"Davidson County, Tennessee",626681,626662,628131,635799,649318,659428,669094,678889
0500000US47039,47039,"Decatur County, Tennessee",11757,11750,11729,11683,11658,11701,11730,11660
0500000US47041,47041,"DeKalb County, Tennessee",18723,18721,18717,18795,18903,19098,19211,19182
0500000US47043,47043,"Dickson County, Tennessee",49666,49654,49697,49934,50153,50195,50592,51487
0500000US47045,47045,"Dyer County, Tennessee",38335,38337,38321,38142,38237,38132,37868,37893
0500000US47047,47047,"Fayette County, Tennessee",38413,38413,38408,38526,38615,38765,38999,39165
0500000US47049,47049,"Fentress County, Tennessee",17959,17959,17928,18021,17919,17936,17862,17917
0500000US47051,47051,"Franklin County, Tennessee",41052,41052,40957,40844,40759,41258,41378,41449
0500000US47053,47053,"Gibson County, Tennessee",49683,49683,49723,49855,49663,49441,49501,49399
0500000US47055,47055,"Giles County, Tennessee",29485,29485,29398,29325,28926,28737,28811,28946
0500000US47057,47057,"Grainger County, Tennessee",22657,22652,22709,22722,22633,22663,22815,22846
0500000US47059,47059,"Greene County, Tennessee",68831,68831,68834,68981,68643,68265,68413,68580
0500000US47061,47061,"Grundy County, Tennessee",13703,13708,13720,13628,13628,13478,13444,13441
0500000US47063,47063,"Hamblen County, Tennessee",62544,62541,62558,62826,62718,63054,62994,63402
0500000US47065,47065,"Hamilton County, Tennessee",336463,336465,337313,340918,345752,349036,350800,354098
0500000US47067,47067,"Hancock County, Tennessee",6819,6819,6812,6711,6676,6634,6619,6572
0500000US47069,47069,"Hardeman County, Tennessee",27253,27253,27158,26842,26523,26251,25941,25707
0500000US47071,47071,"Hardin County, Tennessee",26026,26025,26052,25886,26014,26002,25843,25756
0500000US47073,47073,"Hawkins County, Tennessee",56833,56836,56872,56637,56569,56740,56558,56471
0500000US47075,47075,"Haywood County, Tennessee",18787,18787,18769,18541,18255,18227,18196,18023
0500000US47077,47077,"Henderson County, Tennessee",27769,27793,27797,28032,28025,27976,28017,28015
0500000US47079,47079,"Henry County, Tennessee",32330,32330,32381,32359,32353,32224,32261,32147
0500000US47081,47081,"Hickman County, Tennessee",24690,24699,24659,24350,24142,24170,24388,24363
