GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0500000US47001,47001,"Anderson County, Tennessee",75129,75094,75112,75173,75196,75258,75131,75459,75585,76257
0500000US47003,47003,"Bedford County, Tennessee",45058,45056,45086,45227,45262,45584,46259,46892,47420,48117
0500000US47005,47005,"Benton County, Tennessee",16489,16491,16511,16488,16414,16358,16176,16192,16059,15986
0500000US47007,47007,"Bledsoe County, Tennessee",12876,12872,12882,12906,12851,13846,14419,14483,14599,14717
0500000US47009,47009,"Blount County, Tennessee",123010,123100,123213,123653,123904,124844,125827,126832,128244,129929
0500000US47011,47011,"Bradley County, Tennessee",98963,98932,99096,99838,101061,101747,102816,103802,104407,105560
0500000US47013,47013,"Campbell County, Tennessee",40716,40723,40735,40567,40478,40217,39895,39687,39671,39648
0500000US47015,47015,"Cannon County, Tennessee",13801,13816,13801,13723,13803,13704,13614,13754,13907,14216
0500000US47017,47017,"Carroll County, Tennessee",28522,28480,28448,28530,28652,28588,28358,27953,27924,27860
0500000US47019,47019,"Carter County, Tennessee",57424,57379,57340,57353,57254,56917,56270,56366,56458,56488
0500000US47021,47021,"Cheatham County, Tennessee",39105,39103,39122,38971,39220,39334,39604,39571,39728,40330
0500000US47023,47023,"Chester County, Tennessee",17131,17143,17193,17126,17052,17079,17101,17083,17102,17119
0500000US47025,47025,"Claiborne County, Tennessee",32213,32212,32216,32087,31746,31613,31529,31517,31561,31609
0500000US47027,47027,"Clay County, Tennessee",7861,7860,7851,7767,7727,7708,7639,7683,7688,7703
0500000US47029,47029,"Cocke County, Tennessee",35662,35642,35641,35401,35455,35325,35201,35068,35160,35556
0500000US47031,47031,"Coffee County, Tennessee",52796,52800,52770,52909,53144,53295,53521,54094,54428,55034
0500000US47033,47033,"Crockett County, Tennessee",14586,14576,14588,14558,14610,14608,14645,14578,14467,14473
0500000US47035,47035,"Cumberland County, Tennessee",56053,56062,56197,56522,56894,57322,57836,58122,58532,59078
0500000US47037,47037,"Davidson County, Tennessee",626681,626580,627973,635602,649326,659868,670314,681285,688901,691243
0500000US47039,47039,"Decatur County, Tennessee",11757,11750,11718,11681,11633,11662,11680,11600,11711,11751
0500000US47041,47041,"DeKalb County, Tennessee",18723,18720,18695,18758,18859,19112,19219,19274,19442,19852
0500000US47043,47043,"Dickson County, Tennessee",49666,49658,49693,49924,50115,50131,50473,51327,51922,52853
0500000US47045,47045,"Dyer County, Tennessee",38335,38330,38318,38110,38183,38088,37815,37782,37605,37463
0500000US47047,47047,"Fayette County, Tennessee",38413,38439,38429,38566,38671,38821,39031,39218,39575,40036
0500000US47049,47049,"Fentress County, Tennessee",17959,17960,17920,17993,17887,17910,17838,17860,17955,18136
0500000US47051,47051,"Franklin County, Tennessee",41052,41064,40961,40818,40678,41173,41268,41324,41567,41652
0500000US47053,47053,"Gibson County, Tennessee",49683,49691,49734,49829,49625,49330,49368,49196,49103,49111
0500000US47055,47055,"Giles County, Tennessee",29485,29489,29420,29326,28969,28806,28824,28950,29140,29401
0500000US47057,47057,"Grainger County, Tennessee",22657,22656,22721,22750,22689,22736,22865,22851,23112,23144
0500000US47059,47059,"Greene County, Tennessee",68831,68825,68838,69090,68692,68293,68440,68500,68559,68808
0500000US47061,47061,"Grundy County, Tennessee",13703,13726,13725,13587,13591,13448,13374,13334,13279,13361
0500000US47063,47063,"Hamblen County, Tennessee",62544,62533,62514,62801,62683,62997,62952,63384,63717,64277
0500000US47065,47065,"Hamilton County, Tennessee",336463,336484,337262,341035,345693,348919,350602,353748,358061,361613
0500000US47067,47067,"Hancock County, Tennessee",6819,6815,6802,6699,6660,6626,6624,6579,6597,6600
0500000US47069,47069,"Hardeman County, Tennessee",27253,27247,27171,26848,26546,26282,25931,25783,25476,25447
0500000US47071,47071,"Hardin County, Tennessee",26026,26012,26054,25869,25963,25924,25794,25741,25759,25846
0500000US47073,47073,"Hawkins County, Tennessee",56833,56829,56872,56528,56413,56577,56368,56242,56366,56459
0500000US47075,47075,"Haywood County, Tennessee",18787,18807,18812,18535,18246,18206,18164,17973,17803,17573
0500000US47077,47077,"Henderson County, Tennessee",27769,27782,27789,28011,28014,27948,27987,27964,27793,27751
0500000US47079,47079,"Henry County, Tennessee",32330,32354,32402,32410,32376,32229,32246,32145,32245,32450
0500000US47081,47081,"Hickman County, Tennessee",24690,24689,24647,24360,24191,24202,24431,24366,24649,24864
0500000US47083,47083,"Houston County, Tennessee",8426,8425,8447,8343,8400,8271,8216,8122,8118,8213
0500000US47085,47085,"Humphreys County, Tennessee",18538,18535,18558,18399,18284,18245,18148,18146,18381,18484
0500000US47087,47087,"Jackson County, Tennessee",11638,11632,11623,11532,11534,11545,11520,11523,11602,11677
0500000US47089,47089,"Jefferson County, Tennessee",51407,51660,51705,51891,52231,52105,52384,52987,53157,53804
0500000US47091,47091,"Johnson County, Tennessee",18244,18242,18288,18207,18149,17995,17932,17835,17777,17691
0500000US47093,47093,"Knox County, Tennessee",432226,432266,432972,436653,440705,444194,447939,451321,456114,461860
0500000US47095,47095,"Lake County, Tennessee",7832,7832,7828,7793,7720,7699,7669,7574,7530,7468
